Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
(ACIP) Alexandria Company for Industrial Packages,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
(ACIP) Alexandria Company for Industrial Packages,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ (ACIP) Alexandria Company for Industrial Packages commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
4most,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
4most,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/4most commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",0,Overall Net-Zero Target,,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",1,A.G. Barr plc commits to reach net-zero greenhouse gas emissions across the value chain by FY2050 from a FY2020 base year,,x,x
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",2,Near-Term Targets,,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",3,A.G. Barr commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030 from a FY2020 base year,x,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",4,"A.G. Barr also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transport and distribution and downstream transport and distribution 25% within the same timeframe",,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",5,Long-Term Targets,,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",6,A.G. Barr plc commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2035 from  a FY2020 base year,,,
A.G. Barr plc,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",7,"A.G. Barr plc also commits to reduce scope 3 GHG emissions from  purchased goods and services, upstream transport and distribution and downstream transport  and distribution 90% by FY2050 from a FY2020 base year",,x,x
A/S Vestfrost,['2030'],['2050'],['2050'],0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
A/S Vestfrost,['2030'],['2050'],['2050'],1,"https://sciencebasedtargets.org/faqs-for-smes/ A/S Vestfrost commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
A/S Vestfrost,['2030'],['2050'],['2050'],2, A/S Vestfrost commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year,,x,x
A1 Telekom Austria Group,['2030'],,,0,A1 Telekom Austria Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year*,x,,
A1 Telekom Austria Group,['2030'],,,1,"A1 Telekom Austria Group commits to reduce scope 3 GHG emissions covering purchased goods and services, capital goods and fuel- and energy-related activities as well as business travel 50% by 2030 from a 2019 base year",x,,
A1 Telekom Austria Group,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
A2A S.p.A.,"['2030', '2024', '2030']",,,0,Italian multi-utility company A2A S.p,,,
A2A S.p.A.,"['2030', '2024', '2030']",,,1,A commits to reduce scope 1 GHG emissions 46% per kWh by 2030 from a 2017 base year,x,,
A2A S.p.A.,"['2030', '2024', '2030']",,,2,A2A commits to reduce absolute scope 2 GHG emissions 100% by 2024 from a 2017 base year,x,,
A2A S.p.A.,"['2030', '2024', '2030']",,,3,A2A also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 20% by 2030 from a 2017 base year*,x,,
A2A S.p.A.,"['2030', '2024', '2030']",,,4,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
A2G S.A.C B.I.C,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
A2G S.A.C B.I.C,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ A2G S.A.C B.I.C commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
AB InBev,['2025'],,,0,Global Brewer AB InBev commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 from a 2017 base year,x,,
AB InBev,['2025'],,,1,AB InBev commits to increase annual sourcing of renewable electricity from 7% in 2016 to 100% by 2025,x,,
AB InBev,['2025'],,,2,"AB InBev also commits to reduce emissions across the value chain (Scopes 1, 2 and 3) by 25% per beverage by 2025, from a 2017 base year",x,,
AB InBev,['2025'],,,3,These commitments reinforce AB InBev's commitment towards mitigating the impacts of climate change,,,
AB Volvo,"['2030', '2034']",,,0,Volvo Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
AB Volvo,"['2030', '2034']",,,1,Volvo Group commits to reduce absolute scope 3 GHG emissions from use of sold construction equipment 30% by 2030 and from use of sold industrial & marine engines 37,x,,
AB Volvo,"['2030', '2034']",,,2,5% by 2034 from a 2019 base year,x,,
AB Volvo,"['2030', '2034']",,,3,Volvo Group also commits to reduce scope 3 GHG emissions from use of sold heavy duty trucks 40% per vehicle km by 2030 and from buses 40% per vehicle km by 2030 from a 2019 base year,x,,
ABB,['2030'],,,0,ABB commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year,x,,
ABB,['2030'],,,1,ABB also commits to reduce absolute scope 3 GHG emissions 15% over the same timeframe,,,
ABB,['2030'],,,2,**The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
ABOUT YOU,['2025'],,,0,ABOUT YOU commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2025 from a 2019 base year,x,,
ABOUT YOU,['2025'],,,1,ABOUT YOU commits to increase annual sourcing of renewable electricity from 40% in 2019 to 100% by 2025,x,,
ABOUT YOU,['2025'],,,2,ABOUT YOU commits to reduce scope 3 GHG emissions from private label products by 35% per unit of value added by 2025 from a 2019 base year,x,,
ABOUT YOU,['2025'],,,3,"ABOUT YOU also commits that 90% of its suppliers by emissions covering purchased goods and services, and transportation and distribution, will have science-based targets by 2025",x,,
ABP Food Group,['2030'],,,0,Privately owned food processors ABP Food Group commits to reduce absolute scope 1 and 2 GHG emissions 27% by 2030 from a 2016 base year,x,,
